Team,Positive_tweet,Negative_tweet
Boston Bruins,1027,-231
Buffalo Sabres,1327,-131
Detroit Red Wings,725,-204
Florida Panthers,995,-117
Montreal Canadiens,730,-125
Ottawa Senators,713,-136
Tampa Bay Lightning,991,-198
Toronto Maple Leafs,849,-381
Arizona Coyotes,770,-184
Chicago Blackhawks,717,-135
Colorado Avalanche,759,-129
Dallas Stars,1067,-185
Minnesota Wild,958,-187
Nashville Predators,788,-124
St. Louis Blues,1172,-82
Winnipeg Jets,781,-179
Carolina Hurricanes,883,-102
Columbus Blue Jackets,663,-188
New Jersey Devils,223,-1595
New York Islanders,724,-402
New York Rangers,1118,-191
Philadelphia Flyers,874,-108
Pittsburgh Penguins,1179,-118
Washington Capitals,916,-546
Anaheim Ducks,648,-155
Calgary Flames,1004,-248
Edmonton Oilers,835,-280
Los Angeles Kings,652,-107
San Jose Sharks,726,-150
Seattle Kraken,928,-122
Vancouver Canucks,783,-264
Vegas Golden Knights,836,-166
