,Win Ratio,Loss Ratio,Fights per season,Home team goals,Guest team goals,Average goals,Home Corsi For %,Home Fenwick For %,Home High Danger Scoring Chances %,Goals off of High Danger Scoring Chances %,Average expected powerplay goals,Sum of shooting % and save %,Home Attendance
Win Ratio,1.0,-1.0,0.3171959292469181,0.5713279213970524,0.6274680123011599,0.6210505102195127,0.43162483689700065,0.4404210226385537,0.18386739328787616,0.4555169317499426,0.22205088226440373,0.4457746221998343,0.02424928883687761
Loss Ratio,-1.0,1.0,-0.3171959292469177,-0.5713279213970526,-0.6274680123011602,-0.6210505102195132,-0.4316248368970001,-0.4404210226385534,-0.18386739328787605,-0.45551693174994273,-0.2220508822644038,-0.44577462219983494,-0.024249288836877318
Fights per season,0.3171959292469181,-0.3171959292469177,1.0,-0.15199804414211918,-0.1947678737998867,-0.17788053260031414,-0.17399905561439255,-0.1424275381427351,-0.20031531025211788,-0.146713490335614,-0.22446644852838205,-0.0966055508731254,-0.07415022386342231
Home team goals,0.5713279213970524,-0.5713279213970526,-0.15199804414211918,1.0,0.8397906198546647,0.9663067192234953,0.4377515892762858,0.48100840203809014,0.38542721490606885,0.7483850924433472,0.4475766600968541,0.7118263086916073,0.018752098055796494
Guest team goals,0.6274680123011599,-0.6274680123011602,-0.1947678737998867,0.8397906198546647,1.0,0.9511826501787147,0.5054056337730608,0.5116491634620022,0.3254133525713956,0.554772559397515,0.4207555607348516,0.5367939818137364,0.2043415034448282
Average goals,0.6210505102195127,-0.6210505102195132,-0.17788053260031414,0.9663067192234953,0.9511826501787147,1.0,0.48931324311985086,0.5173574511532871,0.37368698214393636,0.6871781267536778,0.4529519502909112,0.6584133313286887,0.10917964183782154
Home Corsi For %,0.43162483689700065,-0.4316248368970001,-0.17399905561439255,0.4377515892762858,0.5054056337730608,0.48931324311985086,1.0,0.9696646331441248,0.5544423472023537,0.4753053058796978,0.5552036453355285,-0.013276400294458052,0.16034174433335058
Home Fenwick For %,0.4404210226385537,-0.4404210226385534,-0.1424275381427351,0.48100840203809014,0.5116491634620022,0.5173574511532871,0.9696646331441248,1.0,0.6314144072719462,0.5236556988121164,0.5668377387697318,0.050551150410681485,0.0804022763102866
Home High Danger Scoring Chances %,0.18386739328787616,-0.18386739328787605,-0.20031531025211788,0.38542721490606885,0.3254133525713956,0.37368698214393636,0.5544423472023537,0.6314144072719462,1.0,0.6709178234733029,0.43412285008726653,0.10294021256294573,-0.06441328419180507
Goals off of High Danger Scoring Chances %,0.4555169317499426,-0.45551693174994273,-0.146713490335614,0.7483850924433472,0.554772559397515,0.6871781267536778,0.4753053058796978,0.5236556988121164,0.6709178234733029,1.0,0.48182441710428914,0.614724979903526,0.07869923282833652
Average expected powerplay goals,0.22205088226440373,-0.2220508822644038,-0.22446644852838205,0.4475766600968541,0.4207555607348516,0.4529519502909112,0.5552036453355285,0.5668377387697318,0.43412285008726653,0.48182441710428914,1.0,0.16373112295527703,-0.18209064739773062
Sum of shooting % and save %,0.4457746221998343,-0.44577462219983494,-0.0966055508731254,0.7118263086916073,0.5367939818137364,0.6584133313286887,-0.013276400294458052,0.050551150410681485,0.10294021256294573,0.614724979903526,0.16373112295527703,1.0,0.011511441519800669
Home Attendance,0.02424928883687761,-0.024249288836877318,-0.07415022386342231,0.018752098055796494,0.2043415034448282,0.10917964183782154,0.16034174433335058,0.0804022763102866,-0.06441328419180507,0.07869923282833652,-0.18209064739773062,0.011511441519800669,1.0
