,Features,Correlation
0,Win Ratio,0.3171959292469181
1,Loss Ratio,-0.3171959292469177
2,Home team goals,-0.15199804414211918
3,Guest team goals,-0.1947678737998867
4,Average goals,-0.17788053260031414
5,Home Corsi For %,-0.17399905561439255
6,Home Fenwick For %,-0.1424275381427351
7,Home High Danger Scoring Chances %,-0.20031531025211788
8,Goals off of High Danger Scoring Chances %,-0.146713490335614
9,Average expected powerplay goals,-0.22446644852838205
10,Sum of shooting % and save %,-0.0966055508731254
11,Home Attendance,-0.07415022386342231
